,time,minDis,avgDis,objects
0,1004.307785,5.9227769639345675,inf,7
1,991.402059,5.3468638360881275,inf,7
2,987.155953,5.389392659109453,inf,8
3,970.679775,4.795258196201309,inf,7
4,985.747532,8.44555272610061,inf,5
5,986.631387,7.61506532054248,inf,4
6,984.651371,7.615610787304574,inf,5
7,976.696921,7.690772469572672,inf,3
8,976.251707,3.7365833701810574,8.714788633937982,2
9,987.69928,3.3159847202291126,3.3159847202291126,1
10,979.353404,0.0,0.0,0
11,912.764328,10.938562326261216,10.938562326261216,1
12,1012.361219,8.634806656303562,8.634806656303562,1
13,986.994678,6.849242522334009,6.849242522334009,1
14,987.657454,6.237752353786526,6.237752353786526,1
15,991.341087,5.366386594833446,5.366386594833446,1
16,955.034026,0.0,0.0,0
17,987.224359,0.0,0.0,0
18,1002.814453,0.0,0.0,0
19,958.725544,0.0,0.0,0
20,980.071212,41.94125673531497,inf,2
21,992.170613,12.093431003210405,inf,2
22,974.122948,9.379144921797032,inf,2
23,1003.067034,48.11811628112778,inf,2
24,992.406123,48.81519440328009,48.81519440328009,1
25,929.938048,110.53060149590316,110.53060149590316,1
26,1037.776149,31.643969868465728,31.643969868465728,1
27,980.563522,31.20477224759918,138.84418483232616,2
28,968.493552,23.186289578815064,23.186289578815064,1
29,985.108388,22.970393245527024,130.24863232515645,2
30,979.744998,22.796228013670895,130.38121686953127,2
31,965.331496,18.027225689917337,166.057937865721,3
32,936.897726,14.743585022470253,163.79357250220653,3
33,987.752771,10.838085359138034,204.12392196155017,4
34,985.880199,7.0444264829035825,147.07976477879586,3
35,985.003132,3.6869006063520313,153.69514926401234,5
36,990.722611,13.927814718005024,231.8209248581383,5
37,963.236914,8.455047500329865,155.29478670409037,6
38,975.16117,14.957205999755166,88.2068525568192,4
39,989.098053,7.650062043577121,265.40436414243595,8
40,979.681695,12.670171810116283,230.5464505279285,7
41,982.87098,9.250061841314558,191.09867339280223,7
42,952.098317,6.43484156876326,152.93514375157173,5
43,957.885506,4.478282610280925,inf,5
44,983.179651,19.626354143526253,inf,3
45,967.260708,108.58539994321649,inf,2
46,972.004644,9.450334952608308,64.3061404008368,2
47,976.978345,54.42225332277851,54.42225332277851,1
48,973.72794,0.0,0.0,0
49,988.254864,0.0,0.0,0
50,983.415399,0.0,0.0,0
51,929.146892,31.68399911750835,31.68399911750835,1
52,978.119592,30.894860857832043,30.894860857832043,1
53,971.861778,22.99594693159856,22.99594693159856,1
54,969.093317,18.228448587529957,18.228448587529957,1
55,973.396756,11.1461138599797,11.1461138599797,1
56,967.353822,7.135354454588914,64.20124397492458,2
57,961.10783,39.1967451701571,inf,3
58,981.13038,24.855437005644774,122.63129962572032,3
59,981.921123,12.57743413295034,134.18476379916,4
60,974.955776,15.79798949374824,159.27737594296354,5
61,967.907048,9.949301370091629,87.32407213679934,4
62,974.880729,16.387277478022792,47.400605440778,2
63,979.037726,12.758759803284677,38.222998192032904,2
64,943.933799,18.96091423345735,41.676514000077674,2
65,969.709207,12.404320649358628,74.0033274807885,3
66,966.103724,12.391019565239292,252.23667211817445,5
67,988.253371,inf,inf,2
68,959.513442,16.807684192794262,inf,7
69,989.413883,14.160881098948785,inf,3
70,980.586488,14.06677560059757,inf,5
71,998.357166,9.380151648261062,inf,8
72,981.078367,29.027308268894465,inf,3
73,984.677921,34.31113845092589,inf,2
74,981.373055,30.663438777659696,30.663438777659696,1
75,1013.614647,23.324399350223512,inf,2
76,969.79041,inf,inf,1
77,970.209087,inf,inf,1
78,968.356743,inf,inf,1
79,952.306219,inf,inf,1
80,977.686904,107.77332398968701,inf,2
81,977.777513,54.61445664127447,inf,3
82,981.511967,37.29289439669449,inf,4
83,952.750128,23.525814013069485,218.46983019544848,4
84,970.964267,11.861889992436526,172.51201062610443,5
85,983.799441,11.232969958232468,203.32646365489998,6
86,989.065491,14.334880587434386,inf,5
87,975.452684,9.141306089724184,inf,5
88,973.974827,8.643640995507345,inf,3
89,920.893637,inf,inf,1
90,952.585593,inf,inf,1
91,975.751153,43.93132174064051,inf,3
92,967.678401,13.971297683627071,inf,5
93,965.759646,102.56866736417227,inf,3
94,977.34998,13.207046917999154,inf,5
95,980.721009,27.42973920305615,inf,5
96,970.9183,14.324840930144674,inf,4
97,971.632847,14.185165816994646,inf,3
98,955.96086,96.71644131169123,inf,2
99,975.826204,63.48674640483888,inf,4
