,time,minDis,avgDis,objects
0,998.793305,3.094137434134662,inf,7
1,980.469747,2.7811238836255354,inf,7
2,1003.68381,5.389392659109453,inf,8
3,973.747489,4.795258196201309,inf,7
4,987.302078,8.44555272610061,inf,5
5,977.327093,7.61506532054248,inf,4
6,960.245136,4.905076978671474,inf,5
7,983.755366,3.933978110515619,inf,3
8,982.748453,3.7365833701810574,8.714788633937982,2
9,990.040888,inf,inf,1
10,977.141434,0.0,0.0,0
11,996.440103,10.938562326261216,10.938562326261216,1
12,961.460848,8.634806656303562,8.634806656303562,1
13,1015.711584,6.849242522334009,6.849242522334009,1
14,983.0227,6.237752353786526,6.237752353786526,1
15,1003.95857,5.366386594833446,5.366386594833446,1
16,990.492778,0.0,0.0,0
17,1006.490669,0.0,0.0,0
18,1001.808093,0.0,0.0,0
19,998.805357,0.0,0.0,0
20,986.748745,41.94125673531497,inf,2
21,985.681125,12.093431003210405,inf,2
22,977.317936,9.379144921797032,inf,2
23,975.409188,48.11811628112778,inf,2
24,939.627628,48.81519440328009,48.81519440328009,1
25,987.347419,110.53060149590316,110.53060149590316,1
26,994.464529,31.643969868465728,31.643969868465728,1
27,991.627489,31.20477224759918,138.84418483232616,2
28,981.842629,23.186289578815064,23.186289578815064,1
29,988.491191,22.970393245527024,130.24863232515645,2
30,983.15364,22.796228013670895,130.38121686953127,2
31,985.773972,18.027225689917337,166.057937865721,3
32,986.670855,14.743585022470253,163.79357250220653,3
33,995.775588,10.838085359138034,204.12392196155017,4
34,982.002292,7.0444264829035825,147.07976477879586,3
35,987.841737,3.6869006063520313,153.69514926401234,5
36,975.588168,13.927814718005024,231.8209248581383,5
37,994.761019,11.16940731755969,inf,6
38,990.138063,14.957205999755166,88.2068525568192,4
39,997.052481,7.650062043577121,265.40436414243595,8
40,1083.257843,12.670171810116283,230.5464505279285,7
41,983.826838,9.508898738672881,inf,7
42,978.17391,6.43484156876326,152.93514375157173,5
43,979.253554,4.478282610280925,inf,5
44,988.801151,3.4643541623018606,inf,3
45,980.130375,108.58539994321649,inf,2
46,976.311252,109.71161089645697,inf,2
47,956.05934,54.42225332277851,54.42225332277851,1
48,977.97794,0.0,0.0,0
49,937.241196,0.0,0.0,0
50,988.115635,0.0,0.0,0
51,1004.349231,31.68399911750835,31.68399911750835,1
52,963.048322,30.894860857832043,30.894860857832043,1
53,973.407928,22.99594693159856,22.99594693159856,1
54,946.199585,18.228448587529957,18.228448587529957,1
55,983.842621,12.738415839976799,12.738415839976799,1
56,991.086105,7.135354454588914,64.20124397492458,2
57,997.15205,3.5828307581293477,157.23582408959442,3
58,970.377715,24.855437005644774,122.63129962572032,3
59,987.635633,12.57743413295034,134.18476379916,4
60,983.750005,15.79798949374824,159.27737594296354,5
61,984.062433,9.949301370091629,87.32407213679934,4
62,980.220482,16.387277478022792,47.400605440778,2
63,991.517739,12.758759803284677,44.58905778921996,2
64,938.418674,18.96091423345735,41.676514000077674,2
65,988.73371,12.404320649358628,74.0033274807885,3
66,979.403836,12.391019565239292,252.23667211817445,5
67,987.83702,28.58018524334371,57.443494558046396,2
68,976.706887,16.807684192794262,337.33470297948577,7
69,977.834846,14.160881098948785,173.42583244495762,3
70,972.910205,10.841235423036581,238.5909505375704,5
71,971.315519,8.563522730057027,inf,8
72,983.683136,5.771904686010787,inf,3
73,980.432389,34.31113845092589,inf,2
74,973.338734,30.663438777659696,30.663438777659696,1
75,927.457664,23.324399350223512,inf,2
76,974.021452,inf,inf,1
77,972.475503,inf,inf,1
78,982.877585,inf,inf,1
79,965.897823,inf,inf,1
80,977.481566,107.77332398968701,inf,2
81,999.858879,54.61445664127447,inf,3
82,973.075152,37.29289439669449,inf,4
83,973.675368,23.525814013069485,inf,4
84,943.343227,11.861889992436526,218.3536293386266,5
85,977.991078,17.656955906215753,inf,6
86,982.177477,14.334880587434386,inf,5
87,955.840586,23.474929412432598,inf,5
88,973.942472,8.643640995507345,inf,3
89,959.886528,inf,inf,1
90,981.650914,inf,inf,1
91,979.632958,43.93132174064051,inf,3
92,969.702874,13.971297683627071,inf,5
93,976.522612,inf,inf,3
94,984.755251,13.207046917999154,inf,5
95,975.160037,27.42973920305615,inf,5
96,974.761831,14.324840930144674,inf,4
97,971.599483,14.185165816994646,inf,3
98,969.496711,96.71644131169123,inf,2
99,969.945118,60.74245750489806,inf,4
